,Player,Pos,Team,Gp,Mpg,Orpm,Drpm,Rpm,Wins,UUID
387,Anthony Mason,F,MIL,65,32.6,-2.41,-1.94,-4.35,-1.74,d7c1247d-66e7-48cf-87a4-200a97538cb4
388,Alton Ford,SF,PHX,11,2.8,-3.74,-0.63,-4.36,-0.02,bcbc5083-07ec-40e3-93ac-973f474857b3
389,Smush Parker,PG,CLE,66,16.7,-0.18,-4.19,-4.37,-0.97,0c95e7df-f318-46d6-8059-2214a02a35f0
390,Shawn Kemp,C,ORL,79,20.7,-2.42,-1.96,-4.37,-1.38,e2951a08-5c47-4a63-a592-c54a10392c81
391,Michael Doleac,C,NY,75,13.9,-2.77,-1.68,-4.45,-0.91,bce3e928-1eb0-4c6e-bc1a-50671a6838f8
392,DeSagana Diop,C,CLE,80,11.8,-5.28,0.82,-4.46,-0.84,1868c19b-c9e2-4a6f-97df-09579bc2d292
393,Art Long,F,PHI/TOR,26,8.1,-4.21,-0.29,-4.50,-0.20,3180028a-1f6d-49f4-95e4-6c3659d0699e
394,Popeye Jones,PF,DAL,26,8.5,-3.25,-1.29,-4.54,-0.20,ba7f07bc-115e-4550-bcad-f1c0ec2a7314
395,Pat Burke,C,ORL,62,12.6,-3.60,-0.97,-4.57,-0.76,13a454b2-242a-4d68-aca3-d5aeb7810926
396,Tom Gugliotta,PF,PHX,27,16.6,-3.30,-1.30,-4.60,-0.43,b30a9c97-4a6e-44fa-bad0-87a27cb60305
397,Jeryl Sasser,G,ORL,75,13.7,-3.97,-0.66,-4.63,-1.01,63b1851a-afc7-4bd7-a610-02199244f7ac
398,Michael Curry,SF,DET,78,19.9,-5.27,0.63,-4.64,-1.46,10edaf26-b605-4241-9ff9-860ea23101d6
399,Jelani McCoy,PF,TOR,67,20.4,-2.97,-1.70,-4.67,-1.38,32a8f64e-4f68-4412-816d-86189ab07588
400,Devin Brown,SG,SA/DEN,10,9.3,-2.74,-2.01,-4.75,-0.10,a324c452-f65d-434e-8edc-8dff071b949c
401,Jiri Welsch,GF,GS,37,6.3,-3.01,-1.80,-4.82,-0.26,f62d4bdf-bedf-4643-9480-8ced6ac5fdba
403,Anthony Goldwire,PG,SA/WSH,15,5.7,-3.32,-1.59,-4.91,-0.10,a17dfdcf-0c2d-45a2-9eef-e4422d871718
404,Sean Rooks,C,LAC,70,19.2,-4.67,-0.29,-4.96,-1.61,b58dc152-e6bb-4531-bfda-b1704fd1612d
405,Kenny Satterfield,G,DEN/PHI,39,12.9,-3.08,-1.92,-4.99,-0.63,72022b53-d68a-4db6-bd4d-10d03f3fe2cd
406,Bruno Sundov,C,BOS,26,5.3,-3.53,-1.49,-5.02,-0.17,76ab9d92-cfbd-464a-bf95-63f4908840c5
407,Robert Archibald,PF,MEM,12,6.0,-3.76,-1.27,-5.02,-0.09,41e90f26-ce22-476c-820a-66dbe8317abb
408,Tony Massenburg,PF,UTAH,58,13.7,-2.73,-2.31,-5.03,-0.97,b04344e4-3c3e-465f-ae7b-adfe47955fac
410,Vitaly Potapenko,C,SEA,26,15.5,-4.53,-0.52,-5.05,-0.49,f0163665-77f4-48a7-a231-59a53459fd5a
411,Pepe Sanchez,G,DET,9,4.1,-5.01,-0.06,-5.07,-0.04,5c1cc4d1-dda2-481c-955d-93d2aee96b4b
412,Damone Brown,PF,TOR,5,23.0,-4.54,-0.62,-5.15,-0.15,0a7de632-5706-4f76-aa3f-14f2634e97ff
413,Sean Marks,PF,MIA,23,9.7,-4.92,-0.30,-5.22,-0.31,40aab0b9-8afe-4ef5-a850-af18d1450c93
414,Joseph Forte,G,SEA,17,5.1,-3.69,-1.58,-5.27,-0.11,5f952dec-0409-45bb-8864-12c48ec98631
415,Greg Foster,C,TOR,29,18.6,-5.05,-0.24,-5.29,-0.75,4162effa-b0e4-4d58-91aa-a7350f06d0a5
416,Brandon Williams,F,ATL,6,3.2,-4.94,-0.49,-5.42,-0.03,1b9a8012-e74b-42ed-8061-5571d5a95f5a
417,John Amaechi,PF,UTAH,50,9.5,-5.01,-0.49,-5.50,-0.74,dc35ca7d-5dc8-4cd1-9b45-b719dfdb464f
418,DeShawn Stevenson,SG,UTAH,61,12.5,-2.83,-2.79,-5.62,-1.25,f87a7454-1984-45dd-bdc2-5543890975f7
419,Kareem Rush,SG,LAL,76,11.5,-2.38,-3.34,-5.72,-1.50,557814e2-15c3-4c83-bd56-a98dc07a42e9
420,Frank Williams,PG,NY,21,8.0,-4.08,-2.09,-6.17,-0.32,67d3d35a-360f-4ea2-a55b-d4eed3fb0f21
422,Mark Bryant,F,PHI/DEN/BOS,16,6.3,-5.68,-0.79,-6.47,-0.20,f1cb9f3d-38bb-4203-bc10-3f65563c9f69
423,Don Reid,F,DET,1,10.0,-5.85,-0.85,-6.70,-0.02,751745d3-269b-4346-92aa-15afc4ec6b2d
424,Cezary Trybanski,C,MEM,15,5.7,-6.20,-0.80,-7.00,-0.21,0c3b1b4d-0405-450f-8520-d49c4d59c2e5
425,Mengke Bateer,C,SA,12,3.8,-4.94,-2.22,-7.16,-0.12,8780af3e-1a30-41d4-8d49-cbe368036f72
426,Kirk Haston,F,NO,12,4.8,-6.80,-1.67,-8.48,-0.20,9c1d50a0-9f90-4974-891e-fe02572c3c93
427,Mateen Cleaves,PG,SAC,12,4.6,-5.40,-3.17,-8.57,-0.20,1b78eaf4-b943-45b6-8134-196d2f1e522f
