,Player,Pos,Team,Gp,Mpg,Orpm,Drpm,Rpm,Wins,UUID,adjusted_wins
265,Cassius Winston,PG,WSH,22,4.5,0.13,-1.24,-1.11,0.10,b898a44f-7b3e-49af-b1ce-abf9b674fc89,3.44
266,Gorgui Dieng,C,MEM/SA,38,14.6,0.58,-1.70,-1.12,0.55,cc059c85-f0e9-4ab3-86cf-f74a78c3c50f,3.8899999999999997
267,Mo Bamba,C,ORL,46,15.8,0.35,-1.48,-1.13,0.67,3b3fc02a-81db-4b5e-ad2e-f3e639e2dcc6,4.01
268,Jahmi'us Ramsey,SG,SAC,13,7.2,0.01,-1.14,-1.13,0.08,7ce78d74-c0ba-49f6-908b-fce93b871e5b,3.42
269,Isaiah Stewart,C,DET,68,21.4,-0.78,-0.35,-1.14,1.39,2dd57508-99f3-47a7-8c02-fb1c4bc26052,4.7299999999999995
270,Anthony Edwards,SG,MIN,72,32.1,-0.22,-0.92,-1.14,1.93,5519d393-dfb1-4da2-8dfd-7f6818e745bb,5.27
271,Jaylen Hoard,F,OKC,19,16.8,-0.51,-0.63,-1.14,0.27,b31a4afa-7099-464d-9bde-ed8bb4afc3c9,3.61
272,Mamadi Diakite,F,MIL,14,10.1,-0.97,-0.18,-1.14,0.11,d74d8c3e-b6bf-48f0-9141-7af316b5c6dd,3.4499999999999997
273,Alex Caruso,SG,LAL,58,21.0,-0.08,-1.06,-1.15,1.18,02165f66-91c2-4a44-8a3f-799e9924d3e9,4.52
274,Dean Wade,PF,CLE,63,19.2,-0.36,-0.79,-1.16,1.04,dfc84bd0-ac44-40fd-908b-a6de5a703fcb,4.38
275,Trey Lyles,PF,SA,23,15.6,-0.36,-0.80,-1.16,0.32,3ebeb49a-f7ba-4bcd-beb7-eda4e12a3629,3.6599999999999997
276,Kevon Looney,F,GS,61,19.0,-2.63,1.47,-1.16,0.92,455b675e-ee9b-4046-9474-c23dbf08a150,4.26
277,Yuta Watanabe,SF,TOR,50,14.5,-0.39,-0.78,-1.17,0.67,8d683692-fa91-4bff-8976-29f95a9d2cb0,4.01
278,Raul Neto,PG,WSH,64,21.9,0.39,-1.58,-1.19,1.25,7565d0ed-9696-4628-9ffd-4182c2d03c21,4.59
279,Didi Louzada,SF,NO,3,18.7,-0.28,-0.90,-1.19,0.04,e894bef6-2407-4e9b-8597-dc0c3db8839e,3.38
280,Nerlens Noel,C,NY,64,24.2,-3.45,2.25,-1.21,1.05,31b8f959-9bec-4a7c-afd9-16eae2bed402,4.39
281,Naz Reid,C,MIN,70,19.2,0.13,-1.35,-1.22,1.15,1954c882-b88b-439f-b9ca-ec4eb4012d23,4.49
282,Terence Davis,SG,TOR/SAC,61,17.6,1.79,-3.02,-1.23,0.92,52ae96eb-1c75-4d19-b4d2-dba9f0b440da,4.26
