,Year,Player,Pos,Team,UUID
32,2016,Jahlil Okafor,C,Philadelphia 76ers,57a3abcc-6fb6-4194-8e11-60b71515b827
33,2016,Devin Booker,G,Phoenix Suns,da929682-c586-433a-a3cb-8f79fb000167
34,2016,Karl-Anthony Towns,F,Minnesota Timberwolves,31ae97da-8ff7-454e-b3d6-b34934202f0a
35,2015,Nikola Mirotic,F,Chicago Bulls,a830ebc6-e3d9-49e5-8879-d75013437a50
36,2015,Jordan Clarkson,G,Los Angeles Lakers,d650e08a-bff5-4dbc-8df0-0467a8beafb8
37,2015,Elfrid Payton,G,Orlando Magic,c06e36c4-f717-4095-b54c-a23e53597ab2
38,2015,Nerlens Noel,C,Philadelphia 76ers,9107d919-0ceb-4439-a710-e99eeb7d67be
39,2015,Andrew Wiggins,F,Minnesota Timberwolves,38e99d18-9e67-48ea-bbdd-fbcfcfc92a9a
40,2014,Mason Plumlee,F,Brooklyn Nets,5a8a7c73-07db-4344-bfa3-e36b74f340b1
41,2014,Victor Oladipo,G,Orlando Magic,465372ba-ce7e-41fe-bba6-993a5eed0c90
42,2014,Tim Hardaway Jr.,G,New York Knicks,
43,2014,Trey Burke,G,Utah Jazz,a144461f-fa43-4b83-8c6a-6c6f844d84d6
44,2014,Michael Carter-Williams,G,Philadelphia 76ers,c26f7170-b033-4595-82c8-263158604e64
45,2013,Harrison Barnes,F,Golden State Warriors,5bcbb942-93e2-46b8-bdd3-0c5bd30425a3
46,2013,Bradley Beal,G,Washington Wizards,f4cc432d-acda-4e33-b58c-7f9b07fee5d0
47,2013,Anthony Davis,F,New Orleans Hornets,32fda666-85d5-4689-b53c-2ad968ab162c
48,2013,Damian Lillard,G,Portland Trail Blazers,b0c5cbfc-2e55-4d23-865a-138b11dfe47a
49,2013,Dion Waiters,G,Cleveland Cavaliers,6165d1f0-bb9b-4ec5-8045-9d06de996d07
50,2012,Ricky Rubio,G,Minnesota Timberwolves,e774952d-eb78-47e1-8177-e479f2fd1849
51,2012,Kenneth Faried,F,Denver Nuggets,2a9c603a-bb20-41bc-9d92-c62df62b6c4b
52,2012,Kyrie Irving,G,Cleveland Cavaliers,e3812eca-9504-4fe6-9eed-473c67a03023
53,2012,Brandon Knight,G,Detroit Pistons,6faa9016-3168-40ac-a503-8338fff09672
54,2012,Kawhi Leonard,F,San Antonio Spurs,2f7f0fa9-e257-410a-9ce5-76d5169b07be
55,2012,Iman Shumpert,G,New York Knicks,5df77f57-6992-46fa-b4f2-c4c046f919d2
56,2012,Klay Thompson,G,Golden State Warriors,704216a2-402d-4cb5-9d74-7b7b3afa2469
57,2011,Blake Griffin,PF,LA Clippers,4e3f747b-88c5-4f81-b963-161a2d8f996e
58,2011,John Wall,PG,Washington Wizards,ce800dbb-e494-451a-bc59-c4d38d21502d
59,2011,DeMarcus Cousins,C,Sacramento Kings,b0d025b7-55e9-420a-b056-350a8fcf31d4
60,2011,Landry Fields,SG,New York Knicks,0aef68f8-9c20-4652-8835-b9e467bf1001
61,2011,Gary Neal,PG,San Antonio Spurs,7f0a827b-f65f-499b-a052-b50ca3d26329
62,2010,Darren Collison,PG,New Orleans Hornets,b226576f-f1a2-4dc7-9283-b8dda5fa40c1
63,2010,Stephen Curry,PG,Golden State Warriors,0d729373-8640-4772-922d-1f8d86817adc
64,2010,Tyreke Evans,G,Sacramento Kings,ee2d9ea6-cf63-4111-a161-edbb249d7365
65,2010,Taj Gibson,F,Chicago Bulls,bff6ccb6-d0ed-49fb-a678-52e7897dd0b8
66,2010,Brandon Jennings,G,Milwaukee Bucks,292268ba-558d-4ba8-8a25-b310e9062cfd
67,2009,Michael Beasley,F,Miami Heat,695c0663-c02d-45ca-a87c-fa8e8e6e6b3a
68,2009,Brook Lopez,C,New Jersey Nets,43edbd4f-ebfd-4cc8-9e42-85e14563d80b
69,2009,O.J. Mayo,SG,Memphis Grizzlies,
70,2009,Derrick Rose,PG,Chicago Bulls,8a6de7da-1ec4-41ee-baa9-f791b118550c
71,2009,Russell Westbrook,PG,Oklahoma City Thunder,a17c035e-c0c2-4a2f-95ea-18f20cdb6999
72,2008,Luis Scola,F,Houston Rockets,09c72d50-4879-4774-b4d0-16b7d93f056d
73,2008,Kevin Durant,PF,Seattle SuperSonics,fd4f493e-5002-456a-988a-109d51120984
74,2008,Jeff Green,PF,Seattle SuperSonics,376e8878-9699-4f51-8b66-7e3c87bb4810
75,2008,Al Horford,C,Atlanta Hawks,5fa82029-5179-4b45-adce-7f855a3b60e1
76,2008,Al Thornton,SF,LA Clippers,ae6ac1e9-e0b2-48b7-b79e-0b41e20319bf
77,2007,LaMarcus Aldridge,C,Portland Trail Blazers,3be39f56-16ce-4940-b67d-0d848dc4a10d
78,2007,Andrea Bargnani,C,Toronto Raptors,6e67b7ee-9ad9-49e2-a295-c6a666a9ebbe
79,2007,Randy Foye,SG,Minnesota Timberwolves,8e1023b6-615f-40e6-b722-42c1a23ac549
80,2007,Rudy Gay,SF,Memphis Grizzlies,4ab5d8b9-08e2-4a92-9d73-6c9f24339ce0
81,2007,Brandon Roy,SG,Portland Trail Blazers,2d202566-6179-4136-a5bc-b08379d3ee95
