,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid
61,Pete Chilcutt,PF,27,HOU,74,0,651,73,179,.408,37,98,.378,36,81,.444,.511,17,26,.654,51,105,156,26,19,14,22,65,200,7a1d1bf5-3632-46a1-99b9-16447376195d
62,Randolph Childress,PG,23,POR,28,0,250,25,79,.316,13,47,.277,12,32,.375,.399,22,27,.815,1,18,19,32,8,1,28,22,85,31695982-73e0-4b63-87b4-c2bc3c564878
63,Chris Childs,PG,28,NJN,78,54,2408,324,778,.416,95,259,.367,229,519,.441,.478,259,304,.852,51,194,245,548,111,8,230,246,1002,5f5dbe60-7f2f-40ef-8a62-66c2483855c4
64,Doug Christie,SF,25,TOT,55,17,1036,150,337,.445,46,106,.434,104,231,.450,.513,69,93,.742,34,120,154,117,70,19,95,141,415,98192981-14b8-4c10-ad93-5144b65a3df4
65,Charles Claxton,C,25,BOS,3,0,7,1,2,.500,0,0,0,1,2,.500,.500,0,2,.000,2,0,2,0,0,1,1,4,2,b6a0dbab-bc2c-4f7f-834a-2dfa021d0d13
66,John Coker,C,24,PHO,5,0,11,4,5,.800,0,0,0,4,5,.800,.800,0,0,0,2,0,2,1,0,1,0,1,8,39372359-86d3-436a-be9d-c51d73065c1b
67,Derrick Coleman,PF,28,PHI,11,11,294,48,118,.407,7,21,.333,41,97,.423,.436,20,32,.625,13,59,72,31,4,10,28,30,123,84f062a1-ada6-4899-8ab9-260ce609bcc4
68,Bimbo Coles,PG,27,TOT,81,55,2615,318,777,.409,88,254,.346,230,523,.440,.466,168,211,.796,49,211,260,422,94,17,171,253,892,fd5ff25c-e06e-4109-86fd-aae79146ff69
69,Marty Conlon,C,28,MIL,74,1,958,153,327,.468,5,30,.167,148,297,.498,.476,84,110,.764,58,119,177,68,20,11,79,126,395,323c33b9-0edb-4a29-86a2-3e49c693de82
70,Anthony Cook,PF,28,POR,11,0,60,7,16,.438,0,2,.000,7,14,.500,.438,1,4,.250,5,7,12,2,0,1,1,8,15,345e97e7-03f5-4168-a59d-01b9de2df44f
71,Tyrone Corbin,SF,33,TOT,71,2,1284,155,351,.442,3,18,.167,152,333,.456,.446,100,120,.833,81,163,244,84,63,20,67,147,413,2333fb56-5711-47c8-88ac-873809c87028
72,Joe Courtney,PF,26,CLE,23,0,200,15,35,.429,0,0,0,15,35,.429,.429,8,18,.444,24,25,49,9,5,6,17,35,38,6bdbfaa5-21af-4826-a1d8-84031e872880
73,John Crotty,PG,26,CLE,58,4,617,51,114,.447,8,27,.296,43,87,.494,.482,62,72,.861,20,34,54,102,22,6,51,60,172,136cd263-ba67-449d-ab12-5401d727c24e
74,Terry Cummings,PF,34,MIL,81,13,1777,270,584,.462,1,7,.143,269,577,.466,.463,104,160,.650,162,283,445,89,56,30,69,263,645,7476bfee-7c7e-490c-89af-56e322a8df0a
75,Dell Curry,SG,31,CHH,82,29,2371,441,974,.453,164,406,.404,277,568,.488,.537,146,171,.854,68,196,264,176,108,25,130,173,1192,68ff8943-d218-4539-8d43-74acf22d65d1
76,Michael Curry,SG-SF,27,TOT,46,1,783,73,161,.453,20,53,.377,53,108,.491,.516,45,62,.726,27,58,85,27,24,2,24,92,211,15678d32-697f-469b-af8f-170a457b7179
77,Yinka Dare,C,23,NJN,58,23,626,63,144,.438,0,0,0,63,144,.438,.438,38,62,.613,56,125,181,0,8,40,72,117,164,3018e12f-78f8-4999-ae5c-505b81483a63
78,Antonio Davis,PF,27,IND,82,14,2092,236,482,.490,1,2,.500,235,480,.490,.491,246,345,.713,188,313,501,43,33,66,87,248,719,0cc43dc1-98ea-4ea2-962d-1465fac7dc37
79,Dale Davis,PF,26,IND,78,77,2617,334,599,.558,0,0,0,334,599,.558,.558,135,289,.467,252,457,709,76,56,112,119,238,803,9bd7b705-76b9-4cd9-b230-4872e38108fd
80,Hubert Davis,SG,25,NYK,74,14,1773,275,566,.486,127,267,.476,148,299,.495,.598,112,129,.868,35,88,123,103,31,8,63,120,789,771641c6-eda9-4908-b7dc-4de5744b23c8
81,Mark Davis,SF,22,MIN,57,0,571,55,149,.369,4,13,.308,51,136,.375,.383,74,116,.638,56,69,125,47,40,22,68,92,188,d91daa9b-aa2a-4627-a972-f848bb701bf8
82,Terry Davis,PF,28,DAL,28,0,501,55,108,.509,0,0,0,55,108,.509,.509,27,47,.574,43,74,117,21,10,4,25,66,137,b581d1d6-5751-48b3-8d66-ce5dce2c616d
83,Todd Day,SG,26,TOT,79,12,1807,299,817,.366,100,302,.331,199,515,.386,.427,224,287,.780,70,154,224,107,81,51,109,225,922,dc9ffb38-7dca-4815-af25-c00a0fa7b9e8
84,Andrew DeClercq,C,22,GSW,22,1,203,24,50,.480,0,1,.000,24,49,.490,.480,11,19,.579,18,21,39,9,7,5,4,30,59,450bfa8c-68a3-4f51-b6fa-afb80fe16e7a
85,Terry Dehere,PG,24,LAC,82,10,2018,315,686,.459,139,316,.440,176,370,.476,.560,247,327,.755,41,102,143,350,54,16,191,239,1016,dd905573-fe36-4d53-8bf3-83f37c40547c
86,Vinny Del Negro,SG,29,SAS,82,82,2766,478,962,.497,57,150,.380,421,812,.518,.527,178,214,.832,36,236,272,315,85,6,100,166,1191,bf138b0e-c99c-4cf7-9bfd-3f2cb3f19bb3
87,Bison Dele,C,26,LAC,65,65,2157,416,766,.543,1,6,.167,415,760,.546,.544,196,267,.734,149,343,492,122,70,55,190,226,1029,da34bace-e9eb-4a47-9290-2fb111828d61
88,Dell Demps,SG,25,SAS,16,0,87,19,33,.576,1,2,.500,18,31,.581,.591,14,17,.824,2,7,9,8,3,1,12,10,53,a173f325-e27d-4948-8b7b-1d4f96702ea3
89,Sherman Douglas,PG,29,TOT,79,66,2335,345,685,.504,40,110,.364,305,575,.530,.533,160,219,.731,55,125,180,436,63,5,194,163,890,218d1375-5118-43ab-97fa-7c1d1883ed3d
90,Kevin Duckworth,C,31,MIL,8,1,58,3,14,.214,0,0,0,3,14,.214,.214,3,6,.500,2,5,7,2,2,0,2,19,9,af5f0718-d3bf-453d-be32-650509490dab
91,Chris Dudley,C,30,POR,80,61,1924,162,358,.453,0,1,.000,162,357,.454,.453,80,157,.510,239,481,720,37,41,100,79,251,404,10207f22-6a09-46de-9e54-a6e20300ec6a
92,Richard Dumas,PF,26,PHI,39,14,739,95,203,.468,2,9,.222,93,194,.479,.473,49,70,.700,42,57,99,44,42,6,49,79,241,b64ef351-4e14-4998-b718-86b2a35aaca4
93,Tony Dumas,SG,23,DAL,67,12,1284,274,655,.418,74,207,.357,200,448,.446,.475,154,257,.599,58,57,115,99,42,13,77,128,776,1a95a0f2-9720-4333-8367-b9796b298455
94,Ledell Eackles,SG,29,WSB,55,26,1238,161,377,.427,54,128,.422,107,249,.430,.499,98,118,.831,44,104,148,86,28,3,57,84,474,8af17132-e726-4bfa-a112-33f900a69e41
95,Acie Earl,C,25,TOR,42,7,655,117,276,.424,0,3,.000,117,273,.429,.424,82,114,.719,51,78,129,27,18,37,49,73,316,394756c7-1844-4280-8b6d-6b5ca28c4afd
96,Tyus Edney,PG,22,SAC,80,60,2481,305,740,.412,53,144,.368,252,596,.423,.448,197,252,.782,63,138,201,491,89,3,192,203,860,23333267-3907-4997-a223-7556f822c801
97,Blue Edwards,SF,30,VAN,82,82,2773,401,956,.419,84,245,.343,317,711,.446,.463,157,208,.755,98,248,346,212,118,46,170,243,1043,f026a9ba-ffb3-440f-b092-636e3a5a1b35
98,Doug Edwards,PF,25,VAN,31,0,519,32,91,.352,0,4,.000,32,87,.368,.352,29,38,.763,35,52,87,39,10,18,29,51,93,76453bdf-460c-4914-a1b0-644d14e7efcf
99,James Edwards,C,40,CHI,28,0,274,41,110,.373,0,0,0,41,110,.373,.373,16,26,.615,15,25,40,11,1,8,21,61,98,98f3d511-9ff9-471e-b2fa-d45584a6244b
100,Kevin Edwards,SG,30,NJN,34,33,1007,142,390,.364,42,104,.404,100,286,.350,.418,68,84,.810,14,61,75,71,54,7,68,67,394,ffce6d7b-7508-4ad0-a470-5d55008cd3f7
101,Craig Ehlo,SG,34,ATL,79,8,1758,253,591,.428,82,221,.371,171,370,.462,.497,81,103,.786,65,191,256,138,85,9,104,138,669,795a4e74-2e82-4ca1-9a6c-7aca4be004de
102,Howard Eisley,PG,23,UTA,65,0,961,104,242,.430,14,62,.226,90,180,.500,.459,65,77,.844,22,56,78,146,29,3,77,130,287,cc328bd8-3597-4002-94e5-503fffe934fe
103,Mario Elie,SF,32,HOU,45,16,1385,180,357,.504,41,127,.323,139,230,.604,.562,98,115,.852,47,108,155,138,45,11,59,93,499,9a34fe53-7775-4472-9659-9d49bf9ef336
104,Sean Elliott,SF,27,SAS,77,77,2901,525,1127,.466,161,392,.411,364,735,.495,.537,326,423,.771,69,327,396,211,69,33,198,178,1537,06ab8ae4-e8f3-4b6b-a216-4187e8ac6dc0
105,Dale Ellis,SF,35,DEN,81,52,2626,459,959,.479,150,364,.412,309,595,.519,.557,136,179,.760,88,227,315,139,57,7,98,191,1204,3deebb20-3308-404d-be67-ab1e32b18cba
106,LaPhonso Ellis,SF,25,DEN,45,28,1269,189,432,.438,4,22,.182,185,410,.451,.442,89,148,.601,93,229,322,74,36,33,83,163,471,7647cd20-12a1-4cbf-b78c-5f2c3be6b566
107,LeRon Ellis,C,26,MIA,12,1,74,5,22,.227,0,0,0,5,22,.227,.227,3,6,.500,5,3,8,4,2,3,3,11,13,6d02c272-35f2-4459-a9ee-f69d9b0cf5fb
108,Pervis Ellison,C,28,BOS,69,29,1431,145,295,.492,0,0,0,145,295,.492,.492,75,117,.641,151,300,451,62,39,99,84,207,365,beb4ab73-9da9-4e40-900e-ec9b2bccc4fe
109,Vincenzo Esposito,PG,26,TOR,30,0,282,36,100,.360,13,56,.232,23,44,.523,.425,31,39,.795,4,12,16,23,7,0,39,27,116,d65a44a2-b86c-443b-92ba-eeefcb9ddce4
110,Duane Ferrell,SF,30,IND,54,6,591,80,166,.482,0,8,.000,80,158,.506,.482,42,57,.737,32,61,93,30,23,3,34,83,202,308acad5-bd68-424c-b2f0-7260659c1773
111,Danny Ferry,PF,29,CLE,82,79,2680,422,919,.459,143,363,.394,279,556,.502,.537,103,134,.769,71,238,309,191,57,37,122,233,1090,4d2819b0-30c9-40f3-af49-4b950b0fad78
112,Michael Finley,SF,22,PHO,82,72,3212,465,976,.476,61,186,.328,404,790,.511,.508,242,323,.749,139,235,374,289,85,31,133,199,1233,73c724d7-8b98-491b-acc0-1fd6eeea2414
113,Matt Fish,C,26,TOT,18,1,134,21,36,.583,0,0,0,21,36,.583,.583,10,19,.526,10,11,21,8,3,7,3,19,52,826b2257-1fc6-4bcf-81c6-bb3b51917199
114,Vern Fleming,PG,33,NJN,77,3,1747,227,524,.433,3,28,.107,224,496,.452,.436,133,177,.751,49,121,170,255,41,5,122,115,590,87de7da8-d598-458b-8196-5bcfcd5dd7aa
115,Sherell Ford,SF,23,SEA,28,1,139,30,80,.375,4,25,.160,26,55,.473,.400,26,34,.765,12,12,24,5,8,1,6,27,90,a83cc981-8199-40b2-9d87-755603a75391
116,Greg Foster,C,27,UTA,73,2,803,107,244,.439,1,8,.125,106,236,.449,.441,61,72,.847,53,125,178,25,7,22,58,120,276,4aefed22-7753-4c9e-82a7-29c16f1d18e7
117,Rick Fox,SF,26,BOS,81,81,2588,421,928,.454,99,272,.364,322,656,.491,.507,196,254,.772,158,292,450,369,113,41,216,290,1137,ecffeb31-7eb9-4fd6-889f-a7684e3eeadf
118,Kevin Gamble,SF,30,TOT,65,13,1325,152,379,.401,44,114,.386,108,265,.408,.459,38,48,.792,21,92,113,100,35,8,43,147,386,9a2469a9-1262-4c2a-85da-acc7a3e487f6
119,Chris Gatling,PF,28,TOT,71,2,1427,326,567,.575,0,1,.000,326,566,.576,.575,139,207,.671,129,288,417,43,36,40,95,217,791,91a83481-28a4-45a5-b350-4cc0cc050926
120,Kenny Gattison,PF,31,VAN,25,14,570,91,190,.479,0,0,0,91,190,.479,.479,47,78,.603,35,79,114,14,10,11,40,75,229,a0e09383-e925-41b8-947d-4c371faa790a
121,Matt Geiger,C,26,CHH,77,50,2349,357,666,.536,3,8,.375,354,658,.538,.538,149,205,.727,201,448,649,60,46,63,137,290,866,fba26ae0-efa6-4b02-9eaf-3ab8756e54e6
122,Kendall Gill,SG,27,TOT,47,46,1683,246,524,.469,26,79,.329,220,445,.494,.494,138,176,.784,72,160,232,260,64,24,131,131,656,407a01e1-fcba-465f-a46b-45e370abce7b
123,Armen Gilliam,SF,31,NJN,78,76,2856,576,1216,.474,0,1,.000,576,1215,.474,.474,277,350,.791,241,472,713,140,73,53,177,180,1429,e73fbea9-98a7-4a49-89f5-e8363da5622f
124,Gerald Glass,SF,28,TOT,15,0,71,12,33,.364,1,6,.167,11,27,.407,.379,1,1,1.000,6,2,8,4,3,1,0,10,26,2d04d746-82ab-4dcd-b3c7-173345ca79a1
125,Anthony Goldwire,PG,24,CHH,42,8,621,76,189,.402,33,83,.398,43,106,.406,.489,46,60,.767,8,35,43,112,16,0,63,79,231,48b56c82-2f23-4b74-bad9-0234cbd26343
126,Greg Graham,SG,25,TOT,53,5,613,78,193,.404,32,82,.390,46,111,.414,.487,52,68,.765,17,40,57,52,25,1,46,64,240,c3b2cbb0-384f-4edc-8e6c-c3328cee5bae
127,Ron Grandison,PF,31,TOT,28,3,311,22,58,.379,4,14,.286,18,44,.409,.414,17,25,.680,20,35,55,13,12,2,12,31,65,e309bed8-fe79-4d45-8d52-bac08e108ddf
128,Brian Grant,PF,23,SAC,78,75,2398,427,842,.507,4,17,.235,423,825,.513,.510,262,358,.732,175,370,545,127,40,103,185,269,1120,cb60c459-9cd0-48ce-a876-10795693f3d0
129,Gary Grant,PG,30,NYK,47,1,596,88,181,.486,8,24,.333,80,157,.510,.508,48,58,.828,12,40,52,69,39,3,45,91,232,0ad85d16-2bf0-4ad4-9809-fd9959229831
130,Greg Grant,PG,29,TOT,31,2,527,35,99,.354,8,34,.235,27,65,.415,.394,5,6,.833,7,27,34,97,22,2,30,43,83,c70f1de1-b1f6-41c7-9dfe-1d52947dd91c
131,Harvey Grant,PF,30,POR,76,75,2394,314,679,.462,21,67,.313,293,612,.479,.478,60,110,.545,117,244,361,111,60,43,82,173,709,b1541b02-0faa-4590-a956-14639b4bb35b
132,Horace Grant,PF,30,ORL,63,62,2286,347,677,.513,1,6,.167,346,671,.516,.513,152,207,.734,178,402,580,170,62,74,64,144,847,c856ad79-88c6-4ea2-8901-b9a394638941
133,A.C. Green,SF,32,PHO,82,36,2113,215,444,.484,14,52,.269,201,392,.513,.500,168,237,.709,166,388,554,72,45,23,79,141,612,282c77d5-61ed-40e2-b715-9e65b65ce2e7
134,Tom Gugliotta,PF,26,MIN,78,78,2835,473,1004,.471,26,86,.302,447,918,.487,.484,289,374,.773,176,514,690,238,139,96,234,265,1261,41095aba-b184-4ede-b27a-b060df0bb514
135,Jack Haley,C,32,CHI,1,0,7,2,6,.333,0,0,0,2,6,.333,.333,1,2,.500,1,1,2,0,0,0,1,2,5,49d90c64-77cf-4dee-8ef7-b7424bab39d0
