,player,salary,year,perc,perc_score,team,uuid
75,Leon Powe,797581.0,2008,0.010071869476069605,1.007,BOS,99b14c9b-af43-4d0c-a20a-68eff6669dd8
76,Gabe Pruitt,711517.0,2008,0.008985051491954568,0.899,BOS,f29b7898-7fc1-4ca5-b2c5-436cf992df51
77,Glen Davis,711517.0,2008,0.008985051491954568,0.899,BOS,6539ac92-659c-4dcc-bd42-af5a6f285006
78,Henry Walker,542114.0,2008,0.0068458268804673095,0.685,BOS,06292b2d-9162-4127-852b-ad771e37622e
79,Kobe Bryant,21262500.0,2008,0.2717398493232729,73.843,LAL,825ab381-2ad5-4685-98b9-93b318bd37da
80,Pau Gasol,15106000.0,2008,0.19305830282785938,37.272,LAL,d0e5dfb2-54b8-4447-9abf-8d1e4d777fe1
81,Lamar Odom,14148596.0,2008,0.1808224500964544,32.697,LAL,0bf56478-de26-403e-b839-60c328fa925a
82,Derek Fisher,4700000.0,2008,0.06006712718727255,3.608,LAL,c076eff2-f72f-4639-bc10-6332183d5f2a
83,Sasha Vujacic,4524887.0,2008,0.057829141050433214,3.344,LAL,e6ed3325-5866-42de-8c67-0905e061dfea
84,Luke Walton,4420000.0,2008,0.056488660035690356,3.191,LAL,c3348785-801a-4efc-954a-067728d86785
85,Adam Morrison,4159200.0,2008,0.053155573488788084,2.826,LAL,9c8d0389-bb1d-4d1e-9c20-1830e03c10ca
86,Trevor Ariza,3100000.0,2008,0.03961874346394572,3.962,LAL,b8f4ff28-eb77-4c7e-acda-23a2a01cdad8
87,Andrew Bynum,2769300.0,2008,0.03539231815313061,3.539,LAL,14bbb9e0-f7bd-445a-97ef-29c1ae7dae2c
88,Jordan Farmar,1080000.0,2008,0.013802659013245606,1.38,LAL,a359f19d-03f0-4f57-bffb-b2953c63de15
89,Josh Powell,854957.0,2008,0.010926555501840208,1.093,LAL,3c5c3da9-08f4-4185-833d-50d1ccdeaac3
90,Shannon Brown,797581.0,2008,0.010193276461521707,1.019,LAL,522f50e0-a99e-424a-b7bb-4a10a98e5c56
91,Sun Yue,442114.0,2008,0.005650322950909323,0.565,LAL,66d1b0ba-3c8c-46a3-a251-846fbcfd1666
92,Shaquille O'Neal,21000000.0,2008,0.2758424728263639,76.089,PHO,4780ef7e-7c65-4ab0-b2ab-239f446cf97e
93,Amare Stoudemire,15070550.0,2008,0.19795703708825518,39.187,PHO,80b93cf5-473f-42dd-b5f6-b42fd990366b
94,Steve Nash,12250000.0,2008,0.16090810914871229,25.891,PHO,34456aa0-a158-4716-8239-0dafe5d7b920
95,Jason Richardson,12222221.0,2008,0.1605432220985864,25.774,PHO,2ae10e27-713f-4024-85f2-8250bda16e3c
96,Jason Richardson,442114.0,2008,0.006289224702842831,0.629,MIA,2ae10e27-713f-4024-85f2-8250bda16e3c
