,player,uuid
192,Detlef Schrempf,97eeab53-3c7c-43ed-a7fb-d3a98cc66c92
193,George McCloud,c906f3ef-c94b-4793-9efb-2f98de82a88e
194,Mike Sanders,fcc7e4f5-414d-48d2-a6bf-ffda2d512494
195,Vern Fleming,87de7da8-d598-458b-8196-5bcfcd5dd7aa
196,Reggie Miller,15a02eb5-28f3-4168-ae9d-d30ed736e98e
197,Randy Wittman,adb193a1-a172-441c-acd0-82f05305fcd1
198,Micheal Williams,d9f9bb45-dd12-4978-8ba6-0a5c5eb4ea12
199,Greg Dreiling,bed77961-496a-422e-b794-46b092193b96
200,Kenny Williams,64e32349-7431-4647-becf-a88a9f1d0ff2
201,Karl Malone,7d550d35-347b-42e8-bda4-31788e36b3a6
202,John Stockton,5f856e9e-3c4b-48b2-9d84-ae40b83961fa
203,Mark Eaton,9ab3221c-d730-4865-b102-c598d45d3962
204,Thurl Bailey,cd48d681-1ed5-476b-9326-1a4e0b958d32
205,Jeff Malone,6ca4a553-19c5-48b9-b2cb-baadbd5780f6
206,Darrell Griffith,6c5aaf52-8382-4f30-b9ea-0ecce7a66a40
207,Mike Brown,2fb24726-79a1-4ec0-9fe8-7fbf2e15fbb5
208,Blue Edwards,f026a9ba-ffb3-440f-b092-636e3a5a1b35
209,Walter Palmer,2df67095-7413-45f5-ba7b-67e2cfbe59ee
210,Delaney Rudd,4bc4ee59-df49-40f6-918c-9add2f92ef4c
211,Andy Toolson,437d44f7-b118-4d30-9a60-5a43682dc736
212,Alan Bannister,340496a4-5066-4009-a969-f7fa4298b281
213,Tony Brown,f5e7d212-32a5-4e6b-a7e1-8ac0acbfcc6c
214,Benoit Benjamin,9d99d986-a894-42ca-a06f-459fff16e566
215,Gary Payton,901e08ca-0383-4677-9716-e0d94aaf1fdc
216,Ricky Pierce,17167955-8487-46d0-96b3-fcc51122754f
217,Eddie Johnson,62876ae0-6eab-49fa-8622-f33bdaa5e684
218,Derrick McKey,b9c1f0dd-1ba1-40f0-9494-191687343d9e
219,Michael Cage,a2c39711-5176-4727-ac4b-d4f600d81bfb
220,Nate McMillan,6311524b-a492-4fdc-b247-84827eec95c0
221,Sedale Threatt,46e3a075-93b6-4b59-bf4c-54f62957d448
222,Dana Barros,d1acce80-d01a-443f-b39b-cc9e4819ba09
223,Quintin Dailey,436fab82-7f09-4651-9e2f-3ea1b5c98136
224,Shawn Kemp,ec838592-3c4e-4e25-bfa0-295f026db2ec
225,Dave Corzine,ae508dac-686a-4903-bbf8-05dff439197a
226,Scott Meents,745c75a3-93d9-4875-b671-467704c1cc7a
227,Hakeem Olajuwon,a196eb76-71e0-47b0-99a6-c1e7c8d755d3
228,Otis Thorpe,4acf8c09-17a2-4097-b30a-e4a2b312b654
229,Sleepy Floyd,b8779d84-bd9d-4bbc-ad26-1867a915af4d
230,Larry Smith,ab5ac4ef-0b1c-4110-b09f-ef04d50e893c
231,Kenny Smith,864ad531-258e-4a37-897b-56d5d1c352d3
232,Buck Johnson,60d2c961-a5d8-406f-b1b9-800f6f5bd775
233,Dave Jamerson,fc23c73f-bf6a-4825-82ad-bbe6d5e7a204
234,David Wood,900c8d6d-33ab-447e-910e-1f789f8fff71
235,Adrian Caldwell,ff7ef569-668d-4cb5-ad34-e21efa11eeca
236,Dave Feitl,cf972ff1-f283-41f4-8f79-7a54ea7cd1ac
237,Vernon Maxwell,a4101125-cf8c-4656-8cc8-b6ea5b061fe9
238,Matt Bullard,3154c4f2-02b4-4e45-b006-309b7b40279d
239,Kennard Winchester,fddb3978-23ab-4a1f-a379-5e631378680c
240,Mike Gminski,449eb029-7173-450e-80ef-936afe988bdc
241,Kendall Gill,407a01e1-fcba-465f-a46b-45e370abce7b
242,J.R. Reid,c60064d6-5a0b-472a-bee2-c32d3237145f
243,Johnny Newman,30c1e375-68bc-4161-a9a9-faae8dda390e
244,Kelly Tripucka,273be3a0-6e3c-40d5-b27f-f312d3e49800
245,Dell Curry,68ff8943-d218-4539-8d43-74acf22d65d1
246,Muggsy Bogues,81605265-5852-4aac-9fcc-d5a55f617479
247,Rex Chapman,de00f059-54ba-4734-986e-86718200eb24
248,Eric Leckner,97d50abb-d165-4a5e-bee1-0a10690b209e
249,Kenny Gattison,a0e09383-e925-41b8-947d-4c371faa790a
250,Randolph Keys,4345932a-474c-4d6c-a9a3-a0e1279ce497
251,Steve Scheffler,fb462aa2-64d6-46b7-851c-2ff8866ea5c9
252,Scott Haffner,8837540a-599c-4a50-ae0c-6a8e046a95b5
253,Blair Rasmussen,0982d9e1-29f5-446d-bb43-429c855b31b8
254,Mahmoud Abdul-Rauf,9439df8b-3c02-4808-aed0-dcbba833f300
255,Greg Anderson,c0aa6acc-533b-4e61-94ec-57a15835ecb5
256,Joe Wolf,d772cea5-bc81-445d-9c77-8303846d5343
257,Michael Adams,7a27af86-990b-401a-bfab-7d78e223fba1
258,Orlando Woolridge,f24cd7f0-b5ef-4321-b3b4-eaacf0ca2ade
259,Todd Lichti,02444527-0970-49cf-a5f1-eee159eb4537
260,Bill Hanzlik,bd61def1-8f47-4a10-a8a9-cc2f9ffcedad
261,Jerome Lane,071a9995-b12b-40a5-8a6c-43a49a04bad1
262,Anthony Cook,345e97e7-03f5-4168-a59d-01b9de2df44f
263,Kenny Battle,fe86795c-f632-48f9-b7ff-ff5bab9d09c5
264,Marcus Liberty,00f1a303-8197-4ac4-a6b4-5c6b0e525724
265,Danny Manning,c8507e27-c58b-4d76-8a83-1a6a7ce9c04d
266,Ron Harper,d3d39f73-8478-45bf-8684-556942385b82
267,Ken Norman,fae1274f-7d91-40e3-bd92-545c95bdc737
268,Charles Smith,e0269063-6579-4736-82b9-42ef4d8da882
269,Bo Kimble,2518da3e-c22c-4a23-956a-6d884d74e195
270,Loy Vaught,1ac2c39c-af41-4b1a-be01-e31892530892
271,Olden Polynice,093410ab-053a-4264-b2b2-7046fbc24628
272,Gary Grant,0ad85d16-2bf0-4ad4-9809-fd9959229831
273,Winston Garland,72bf659e-ff8b-4138-a053-4675d57ea4c9
274,Ken Bannister,226bc834-e30f-4c3c-8280-3ed10dcb556a
275,Tom Garrick,c552d8f3-3f77-4700-97cf-19be6c0e76a9
276,Mike Smrek,edb234c0-8396-42f6-a1dc-a325c2834a53
277,Jeff Martin,c4514bb8-b97a-41b6-888c-c03073d44828
278,Michael Jordan,6cbad2dc-2d47-4b93-b998-97f104cef79c
279,Bill Cartwright,fa7e674e-3e4e-44af-9c7d-1a1add052f6c
280,Horace Grant,c856ad79-88c6-4ea2-8901-b9a394638941
